model_name,algorithm,region,input_combo,dataset,MAE,RMSE,rRMSE,NSE
GPR_southeastern_anatolia_f4,GPR,Southeastern Anatolia,4,test,0.8046947779963274,1.0766941044546492,0.2629526804784832,0.7405520722166006
GPR_southeastern_anatolia_f4,GPR,Southeastern Anatolia,4,train,0.7146843620677304,0.9099920054924978,0.2203284358270343,0.8527795358105589
GPR_southeastern_anatolia_f5,GPR,Southeastern Anatolia,5,test,0.6930786421149128,0.922889081390677,0.2253900682951359,0.8093817175319953
GPR_southeastern_anatolia_f5,GPR,Southeastern Anatolia,5,train,0.7729524739184249,0.998208756565353,0.241687589160591,0.8228521933774048
GPR_southeastern_anatolia_f6,GPR,Southeastern Anatolia,6,test,0.764559248985984,1.0246598711929211,0.2502447618076139,0.7650231958823595
GPR_southeastern_anatolia_f6,GPR,Southeastern Anatolia,6,train,0.731479221849647,0.927218545457502,0.2244993478595495,0.8471528843260092
GPR_southeastern_anatolia_f7,GPR,Southeastern Anatolia,7,test,0.5089611813529521,0.726945718028706,0.1775363349043537,0.8817313875170547
GPR_southeastern_anatolia_f7,GPR,Southeastern Anatolia,7,train,0.621628551885823,0.8069174019646795,0.1953718801301688,0.8842419527539349
GPR_southeastern_anatolia_f8,GPR,Southeastern Anatolia,8,test,1.101634233487933,1.388082841587439,0.339000745347706,0.5687825689888646
GPR_southeastern_anatolia_f8,GPR,Southeastern Anatolia,8,train,0.965941294131647,1.222187533075295,0.295917618863083,0.7344362897734286
GPR_southeastern_anatolia_f9,GPR,Southeastern Anatolia,9,test,0.5877015111243932,0.7791870591994685,0.1902948339393241,0.8641220460888877
GPR_southeastern_anatolia_f9,GPR,Southeastern Anatolia,9,train,0.4701311744991218,0.6225277087138767,0.1507272102304715,0.9311013992265048
GPR_southeastern_anatolia_f10,GPR,Southeastern Anatolia,10,test,0.5887454213639959,0.7903740850137573,0.1930269548010234,0.8601923549702568
GPR_southeastern_anatolia_f10,GPR,Southeastern Anatolia,10,train,0.5183809535426377,0.6741570125151021,0.163227763730616,0.9191992965840776
GPR_southeastern_anatolia_f11,GPR,Southeastern Anatolia,11,test,0.575891172998758,0.7702854786958707,0.1881208697240175,0.8672089033194885
GPR_southeastern_anatolia_f11,GPR,Southeastern Anatolia,11,train,0.5174772132984118,0.6805174594672189,0.164767763334637,0.9176674488075464
GPR_southeastern_anatolia_f12,GPR,Southeastern Anatolia,12,test,0.4833066246745026,0.6399444120747797,0.1562886782941218,0.908346292228053
